Target Distance: 50, Step Size: 2
127: (x, y) = (14.6047, -4.72265)
128: (x, y) = (14.0199, -6.63526)
129: (x, y) = (12.9601, -8.33135)
130: (x, y) = (12.0833, -6.53376)
131: (x, y) = (12.5333, -8.4825)
132: (x, y) = (12.2204, -10.4579)
133: (x, y) = (13.0339, -12.285)
134: (x, y) = (11.9446, -13.9623)
135: (x, y) = (11.6662, -15.9428)
136: (x, y) = (13.5206, -16.6921)
137: (x, y) = (13.6253, -18.6893)
138: (x, y) = (15.2833, -19.8077)
139: (x, y) = (17.2152, -19.2901)
140: (x, y) = (17.0061, -21.2791)
141: (x, y) = (16.3881, -23.1812)
142: (x, y) = (17.8508, -24.5452)
143: (x, y) = (19.4481, -23.3416)
144: (x, y) = (17.9387, -24.6537)
145: (x, y) = (17.2875, -22.7627)
146: (x, y) = (18.9456, -23.8811)
147: (x, y) = (17.1797, -22.9421)
148: (x, y) = (15.3387, -23.7236)
149: (x, y) = (13.9747, -22.2609)
150: (x, y) = (14.526, -24.1834)
151: (x, y) = (12.5627, -24.565)
152: (x, y) = (10.5639, -24.6348)
153: (x, y) = (10.773, -26.6239)
154: (x, y) = (11.5545, -28.4649)
155: (x, y) = (13.4951, -28.9487)
156: (x, y) = (11.5027, -29.123)
157: (x, y) = (10.6574, -27.3104)
158: (x, y) = (10.8317, -29.3028)
159: (x, y) = (12.1173, -30.8349)
160: (x, y) = (10.7031, -32.2491)
161: (x, y) = (10.4594, -34.2342)
162: (x, y) = (9.94172, -32.3023)
163: (x, y) = (8.73809, -30.7051)
164: (x, y) = (9.45483, -28.8379)
165: (x, y) = (11.3569, -29.4559)
166: (x, y) = (13.1062, -28.4863)
167: (x, y) = (14.4444, -27)
168: (x, y) = (13.2408, -25.4028)
169: (x, y) = (11.8768, -26.8655)
170: (x, y) = (12.7221, -28.6781)
171: (x, y) = (12.4783, -30.6632)
172: (x, y) = (11.5087, -28.9139)
173: (x, y) = (10.9239, -30.8265)
174: (x, y) = (11.9239, -32.5586)
175: (x, y) = (13.8033, -33.2426)
176: (x, y) = (15.8021, -33.1728)
177: (x, y) = (14.3158, -31.8346)
178: (x, y) = (16.311, -31.6951)
179: (x, y) = (16.7609, -29.7463)
180: (x, y) = (15.1636, -28.5427)
181: (x, y) = (15.8476, -30.4221)
182: (x, y) = (15.8127, -32.4218)
183: (x, y) = (13.9001, -33.0065)
184: (x, y) = (14.2817, -31.0433)
185: (x, y) = (14.833, -29.1207)
186: (x, y) = (15.9802, -27.4824)
187: (x, y) = (15.7711, -29.4715)
188: (x, y) = (16.71, -27.7056)
189: (x, y) = (14.8557, -28.4548)
190: (x, y) = (13.1976, -29.5732)
191: (x, y) = (13.7823, -31.4858)
192: (x, y) = (13.2647, -29.5539)
193: (x, y) = (11.3084, -29.9698)
194: (x, y) = (12.484, -28.3517)
195: (x, y) = (13.848, -26.889)
196: (x, y) = (11.8589, -26.68)
197: (x, y) = (13.2976, -28.0693)
198: (x, y) = (13.1233, -26.0769)
199: (x, y) = (11.1343, -25.8678)
200: (x, y) = (9.137, -25.9725)
201: (x, y) = (8.85865, -27.953)
202: (x, y) = (9.30856, -26.0043)
203: (x, y) = (10.3978, -27.6816)
204: (x, y) = (8.58522, -26.8364)
205: (x, y) = (7.90118, -28.7158)
206: (x, y) = (6.08856, -27.8706)
207: (x, y) = (7.8378, -26.9009)
208: (x, y) = (9.6037, -25.962)
209: (x, y) = (11.2998, -24.9022)
210: (x, y) = (10.715, -22.9895)
211: (x, y) = (12.1537, -21.6002)
212: (x, y) = (10.2131, -22.0841)
213: (x, y) = (9.46392, -23.9384)
214: (x, y) = (8.49431, -25.6877)
215: (x, y) = (8.59898, -27.6849)
216: (x, y) = (6.65839, -28.1688)
217: (x, y) = (4.69513, -27.7872)
218: (x, y) = (2.69787, -27.6825)
219: (x, y) = (2.21403, -29.6231)
220: (x, y) = (4.17728, -29.2415)
221: (x, y) = (3.96823, -31.2305)
222: (x, y) = (5.08661, -29.5724)
223: (x, y) = (7.04987, -29.9541)
224: (x, y) = (8.74596, -31.0139)
225: (x, y) = (8.06192, -29.1345)
226: (x, y) = (9.67996, -27.9589)
227: (x, y) = (11.6205, -27.4751)
228: (x, y) = (12.5595, -29.241)
229: (x, y) = (14.5567, -29.1363)
230: (x, y) = (12.5762, -29.4147)
231: (x, y) = (11.5164, -27.7186)
232: (x, y) = (11.3421, -29.711)
233: (x, y) = (11.2026, -31.7061)
234: (x, y) = (12.1105, -33.4881)
235: (x, y) = (12.892, -35.3291)
236: (x, y) = (14.6579, -34.3902)
237: (x, y) = (14.5881, -32.3914)
238: (x, y) = (16.1641, -33.6227)
239: (x, y) = (17.2825, -31.9646)
240: (x, y) = (19.2776, -32.1041)
241: (x, y) = (20.3077, -33.8185)
242: (x, y) = (22.0736, -34.7574)
243: (x, y) = (20.1103, -35.139)
244: (x, y) = (21.08, -33.3898)
245: (x, y) = (21.2195, -31.3947)
246: (x, y) = (20.7356, -29.4541)
247: (x, y) = (20.2518, -31.3947)
248: (x, y) = (19.7341, -33.3265)
249: (x, y) = (17.9366, -32.4498)
250: (x, y) = (19.7637, -31.6363)
251: (x, y) = (19.6241, -33.6314)
252: (x, y) = (20.3082, -35.5108)
253: (x, y) = (20.6555, -33.5412)
254: (x, y) = (19.4518, -31.9439)
255: (x, y) = (19.036, -33.9002)
256: (x, y) = (19.944, -32.1182)
257: (x, y) = (18.0314, -31.5335)
258: (x, y) = (18.1012, -33.5323)
259: (x, y) = (20.1009, -33.4973)
260: (x, y) = (18.1603, -33.0135)
261: (x, y) = (17.7787, -31.0503)
262: (x, y) = (19.7711, -31.2246)
263: (x, y) = (20.3891, -29.3224)
264: (x, y) = (19.359, -31.0368)
265: (x, y) = (20.1082, -32.8912)
266: (x, y) = (19.019, -34.5685)
267: (x, y) = (18.9143, -36.5658)
268: (x, y) = (18.4644, -38.5145)
269: (x, y) = (19.1155, -36.6235)
270: (x, y) = (17.1837, -37.1411)
271: (x, y) = (16.5989, -39.0537)
272: (x, y) = (18.5477, -38.6038)
273: (x, y) = (16.5914, -38.188)
274: (x, y) = (18.0301, -39.5773)
275: (x, y) = (19.2056, -41.1953)
276: (x, y) = (18.6543, -43.1179)
277: (x, y) = (19.624, -41.3686)
278: (x, y) = (20.1752, -39.4461)
279: (x, y) = (22.0424, -38.7294)
280: (x, y) = (22.1471, -36.7321)
281: (x, y) = (21.8342, -34.7567)
282: (x, y) = (22.4189, -36.6693)
283: (x, y) = (24.3316, -36.0846)
284: (x, y) = (25.5902, -34.5303)
285: (x, y) = (26.7374, -32.892)
286: (x, y) = (26.9117, -34.8844)
287: (x, y) = (28.8523, -35.3682)
288: (x, y) = (28.8523, -33.3682)
289: (x, y) = (26.8672, -33.612)
290: (x, y) = (25.3351, -34.8975)
291: (x, y) = (24.8852, -36.8463)
292: (x, y) = (23.0058, -36.1622)
293: (x, y) = (21.3675, -37.3094)
294: (x, y) = (19.5003, -38.0261)
295: (x, y) = (19.5352, -40.0258)
296: (x, y) = (21.4146, -39.3418)
297: (x, y) = (21.8304, -37.3855)
298: (x, y) = (19.8317, -37.3157)
299: (x, y) = (20.0754, -39.3008)
300: (x, y) = (18.3611, -38.2707)
301: (x, y) = (17.5476, -40.0978)
302: (x, y) = (19.0339, -38.7595)
303: (x, y) = (20.6919, -37.6411)
304: (x, y) = (21.8675, -36.0231)
305: (x, y) = (20.6089, -37.5774)
306: (x, y) = (22.4999, -38.2285)
307: (x, y) = (20.4999, -38.2285)
308: (x, y) = (21.2491, -40.0829)
309: (x, y) = (22.3963, -38.4446)
310: (x, y) = (20.5291, -39.1613)
311: (x, y) = (22.4202, -38.5102)
312: (x, y) = (24.2177, -37.6335)
313: (x, y) = (26.2177, -37.6335)
314: (x, y) = (26.1479, -39.6322)
315: (x, y) = (27.4335, -41.1643)
316: (x, y) = (28.0183, -43.0769)
After 316 steps, the subject has the following location:
(x, y) = (28.0183, -43.0769)
or
(m, a) = (51.3872, -56.9591)
Average outward distance per step = 0.162618


Bye.
